epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,3692.5,0.64326,0.3316,0.80977,0.92221,0.8199,0.86493,0.63873,0.67154,0.36217,0.81827,0.00069725,0.00069725,0.00069725
69,3749.06,0.65806,0.34422,0.80717,0.8668,0.83966,0.87251,0.63168,0.69437,0.36654,0.82225,0.000689,0.000689,0.000689
70,3800.17,0.65205,0.34594,0.80686,0.88838,0.82957,0.87319,0.6409,0.65553,0.35125,0.81521,0.00068075,0.00068075,0.00068075
71,3855.84,0.64577,0.33857,0.80307,0.88152,0.84787,0.87836,0.6482,0.64752,0.35239,0.81344,0.0006725,0.0006725,0.0006725
72,3907.57,0.65741,0.33954,0.80514,0.93246,0.85031,0.87519,0.64546,0.64791,0.34759,0.81262,0.00066425,0.00066425,0.00066425
73,3962.52,0.68168,0.34703,0.8091,0.92926,0.82087,0.87569,0.65128,0.73637,0.37703,0.82181,0.000656,0.000656,0.000656
74,4013.88,0.65796,0.34747,0.80808,0.90177,0.85271,0.87188,0.65569,0.65676,0.36383,0.81472,0.00064775,0.00064775,0.00064775
75,4075.31,0.62013,0.33021,0.80349,0.92911,0.83302,0.87714,0.65686,0.63659,0.33513,0.81148,0.0006395,0.0006395,0.0006395
76,4131.88,0.63217,0.32543,0.80586,0.91938,0.83294,0.87261,0.65748,0.64002,0.33935,0.81116,0.00063125,0.00063125,0.00063125
77,4193.84,0.62414,0.32577,0.80487,0.92641,0.81666,0.866,0.65765,0.64657,0.35786,0.81317,0.000623,0.000623,0.000623
78,4245.23,0.62024,0.32239,0.80298,0.91513,0.81626,0.86843,0.65533,0.63462,0.34763,0.81439,0.00061475,0.00061475,0.00061475
79,4300.76,0.62508,0.32237,0.80161,0.86256,0.8386,0.861,0.65379,0.63569,0.3454,0.81352,0.0006065,0.0006065,0.0006065
80,4352.22,0.61895,0.3229,0.79987,0.90211,0.8139,0.86203,0.64464,0.63381,0.35178,0.81377,0.00059825,0.00059825,0.00059825
81,4404.01,0.64109,0.32972,0.8041,0.96017,0.8108,0.87302,0.6484,0.63755,0.35157,0.81295,0.00059,0.00059,0.00059
82,4460.17,0.64648,0.33282,0.80746,0.92217,0.80312,0.87292,0.64985,0.63605,0.35306,0.81468,0.00058175,0.00058175,0.00058175
83,4511.77,0.61982,0.32397,0.80196,0.93461,0.82026,0.87213,0.65161,0.64774,0.34526,0.81586,0.0005735,0.0005735,0.0005735
84,4568.75,0.62679,0.32607,0.80609,0.97018,0.81051,0.87466,0.64548,0.65866,0.35528,0.81601,0.00056525,0.00056525,0.00056525
85,4620.25,0.61911,0.3163,0.80417,0.95008,0.81721,0.86946,0.64455,0.64567,0.34222,0.81243,0.000557,0.000557,0.000557
86,4677.19,0.6162,0.31589,0.80272,0.94946,0.80441,0.86432,0.64511,0.64532,0.3511,0.81363,0.00054875,0.00054875,0.00054875
87,4728.7,0.59244,0.30437,0.80049,0.93117,0.81889,0.86385,0.64707,0.6439,0.34238,0.81675,0.0005405,0.0005405,0.0005405
88,4785.72,0.60998,0.3146,0.80113,0.89088,0.8336,0.86128,0.6469,0.64694,0.35311,0.81504,0.00053225,0.00053225,0.00053225
89,4838.76,0.61781,0.31616,0.80326,0.88915,0.81685,0.85807,0.64331,0.6358,0.34998,0.81508,0.000524,0.000524,0.000524
90,4892.07,0.62504,0.31726,0.80135,0.87946,0.8298,0.85601,0.65037,0.64603,0.34887,0.81466,0.00051575,0.00051575,0.00051575
