epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4351.98,0.70558,0.37004,0.8329,0.8555,0.785,0.83036,0.54588,0.91875,0.45787,0.93282,0.000795954,0.000795954,0.000795954
62,4417.78,0.67664,0.3603,0.8348,0.86495,0.82036,0.83616,0.55898,0.90808,0.44553,0.92938,0.000789628,0.000789628,0.000789628
63,4478.84,0.66925,0.35648,0.83156,0.89532,0.82028,0.85988,0.58086,0.9306,0.45507,0.9289,0.000783231,0.000783231,0.000783231
64,4550.73,0.68093,0.35788,0.83227,0.84631,0.82953,0.85072,0.57113,0.91176,0.44288,0.92952,0.000776766,0.000776766,0.000776766
65,4616.28,0.70198,0.3643,0.83136,0.84623,0.81476,0.8493,0.57887,0.91867,0.47057,0.92943,0.000770234,0.000770234,0.000770234
66,4679.92,0.67388,0.35327,0.82838,0.87201,0.81638,0.85862,0.57846,0.90691,0.44751,0.92334,0.000763637,0.000763637,0.000763637
67,4745.41,0.66472,0.34996,0.83042,0.87988,0.82078,0.85662,0.57208,0.90639,0.44228,0.92814,0.000756976,0.000756976,0.000756976
68,4806.79,0.67127,0.35598,0.82751,0.8996,0.76649,0.8408,0.55888,0.9083,0.44629,0.94261,0.000750252,0.000750252,0.000750252
69,4867.52,0.7316,0.37216,0.83948,0.85881,0.83922,0.86146,0.56509,0.91796,0.45841,0.92638,0.000743468,0.000743468,0.000743468
70,4929.21,0.67169,0.34954,0.83585,0.91763,0.7922,0.85339,0.5557,0.91875,0.45609,0.9302,0.000736625,0.000736625,0.000736625
71,4995.01,0.64749,0.33891,0.83139,0.93577,0.78527,0.86932,0.58078,0.90002,0.43566,0.92623,0.000729725,0.000729725,0.000729725
72,5057.18,0.65963,0.35123,0.82648,0.8827,0.78095,0.84489,0.56272,0.89779,0.45335,0.91851,0.00072277,0.00072277,0.00072277
73,5122.4,0.66383,0.35023,0.82955,0.86618,0.82877,0.86519,0.58388,0.90677,0.44705,0.92684,0.000715761,0.000715761,0.000715761
74,5184.82,0.65391,0.34658,0.83544,0.82088,0.83749,0.85359,0.56712,0.90687,0.46038,0.93036,0.0007087,0.0007087,0.0007087
75,5246.19,0.63874,0.3411,0.82383,0.88944,0.81235,0.87423,0.58314,0.90088,0.44179,0.92658,0.000701588,0.000701588,0.000701588
76,5308.27,0.64239,0.34641,0.82457,0.86896,0.82498,0.86634,0.58926,0.90341,0.43534,0.92886,0.000694428,0.000694428,0.000694428
77,5384.45,0.63475,0.33403,0.82642,0.91292,0.81699,0.86829,0.59004,0.8957,0.44271,0.92592,0.000687222,0.000687222,0.000687222
78,5448.31,0.63085,0.33424,0.82034,0.87457,0.82219,0.85376,0.56908,0.9127,0.44568,0.9306,0.00067997,0.00067997,0.00067997
79,5513.74,0.62296,0.32449,0.82318,0.89146,0.83329,0.86085,0.59238,0.88797,0.42716,0.92654,0.000672675,0.000672675,0.000672675
80,5576.05,0.63565,0.34009,0.82464,0.88812,0.78698,0.84779,0.56774,0.89511,0.4499,0.92753,0.000665339,0.000665339,0.000665339
81,5642.7,0.59092,0.31919,0.81774,0.90593,0.79842,0.86419,0.59565,0.89447,0.4254,0.9315,0.000657963,0.000657963,0.000657963
82,5707.73,0.62325,0.32787,0.82922,0.90471,0.81439,0.86952,0.57021,0.90977,0.42797,0.93189,0.00065055,0.00065055,0.00065055
83,5769.04,0.64792,0.33588,0.82637,0.90991,0.82446,0.86752,0.58736,0.89716,0.4295,0.931,0.000643101,0.000643101,0.000643101
84,5835.39,0.60258,0.31894,0.82127,0.89408,0.78764,0.85304,0.58759,0.90901,0.424,0.92277,0.000635617,0.000635617,0.000635617
85,5903.11,0.63546,0.33645,0.82093,0.85602,0.84457,0.86497,0.57413,0.90242,0.44012,0.92771,0.000628101,0.000628101,0.000628101
